Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2021-2022,Max Aarons,eng ENG,DF,Norwich City,21,2000,34,32,2881,32,0,2,0,0,8,0,0.8,0.8,1.7,78,117,85
2021-2022,Che Adams,sct SCO,FW,Southampton,25,1996,30,23,2039,22.7,7,3,0,0,0,0,7.1,7.1,3,19,33,153
2021-2022,Rayan Aït Nouri,dz ALG,DFMF,Wolves,20,2001,23,20,1828,20.3,1,2,0,0,4,0,0.6,0.6,1.6,60,49,127
2021-2022,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,23,1995,22.2,1,3,0,0,5,0,0.8,0.8,1.7,30,82,29
2021-2022,Nathan Aké,nl NED,DF,Manchester City,26,1995,14,10,923,10.3,2,0,0,0,0,0,0.7,0.7,0.6,12,57,8
2021-2022,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,17,11,1132,12.6,1,2,0,0,3,0,0.5,0.5,2,21,26,56
2021-2022,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,17,1534,17,1,4,0,0,2,0,1.9,1.9,2.3,24,214,45
2021-2022,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,32,2853,31.7,2,12,0,0,2,0,2.4,2.4,12,53,267,201
2021-2022,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36,0,1,0,0,0,0,0,0,0.2,0,1,0
2021-2022,Allan,br BRA,MF,Everton,30,1991,28,25,2183,24.3,0,2,0,0,7,1,0.2,0.2,0.8,26,130,18
2021-2022,Dele Alli,eng ENG,MF,Tottenham,25,1996,10,8,657,7.3,1,0,1,1,1,0,1.6,0.8,0.3,8,18,22
2021-2022,Dele Alli,eng ENG,MFFW,Everton,25,1996,11,1,338,3.8,0,0,0,0,3,0,0.1,0.1,0.4,7,13,21
2021-2022,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,30,19,1716,19.1,1,0,0,0,2,0,1.7,1.7,0.9,44,46,85
2021-2022,Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,25,2167,24.1,4,4,0,0,8,0,2.8,2.8,4.5,51,93,192
2021-2022,Steven Alzate,co COL,MF,Brighton,22,1998,9,5,404,4.5,0,0,0,0,0,0,0.1,0.1,0.2,3,21,6
2021-2022,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,23,2123,23.6,0,0,0,0,4,0,0,0,0.2,14,62,0
2021-2022,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,32,2916,32.4,0,3,0,0,4,0,0.7,0.7,1.7,14,100,4
2021-2022,Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2971,33,10,8,0,1,8,1,10.8,10.2,6,77,46,246
2021-2022,Cameron Archer,eng ENG,FWMF,Aston Villa,20,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,1
2021-2022,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Adam Armstrong,eng ENG,FW,Southampton,24,1997,23,17,1413,15.7,2,2,0,0,1,0,4.5,4.5,1.6,39,30,105
2021-2022,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,15,1473,16.4,2,0,0,0,1,0,2.5,2.5,1.5,63,83,78
2021-2022,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,12,1037,11.5,4,1,0,2,3,0,5.9,4.2,1,21,26,47
2021-2022,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,31,23,2019,22.4,3,3,0,0,2,0,3.1,3.1,2.8,98,51,151
2021-2022,Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,26,2272,25.2,2,2,0,0,4,1,1.2,1.2,1.8,45,135,51
2021-2022,César Azpilicueta,es ESP,DF,Chelsea,31,1989,27,24,2070,23,1,2,0,0,3,0,0.9,0.9,1.8,49,138,132
2021-2022,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,18,7,761,8.5,1,2,0,0,3,0,1.5,1.5,0.8,34,24,61
2021-2022,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,1,0,0,0,0,1,5,0
2021-2022,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0.2,0.2,0,0,0,4
2021-2022,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,0,0,2,0,3,3,1.1,8,12,24
2021-2022,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,9,910,10.1,1,0,0,0,2,1,0.7,0.7,0.5,14,35,29
2021-2022,Ross Barkley,eng ENG,MFFW,Chelsea,27,1993,6,1,179,2,1,0,0,0,0,0,1,1,0.5,14,14,17
2021-2022,Ashley Barnes,eng ENG,FW,Burnley,31,1989,23,8,808,9,1,0,1,1,4,0,2.1,1.4,0.9,5,17,47
2021-2022,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,32,24,2101,23.3,6,10,0,0,2,0,5.6,5.6,4.6,107,59,237
2021-2022,Lewis Bate,eng ENG,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0,0,0,6,1
2021-2022,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,3,0,0.1,0.1,0.4,9,20,4
2021-2022,Jan Bednarek,pl POL,DF,Southampton,25,1996,31,30,2629,29.2,4,0,0,0,10,0,2.2,2.2,0.4,0,61,5
2021-2022,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,0,0,0,0,0.5,0.5,0.4,0,4,4
2021-2022,Donny van de Beek,nl NED,MF,Everton,24,1997,7,5,483,5.4,1,0,0,0,1,0,1.1,1.1,0.1,3,20,10
2021-2022,Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,32,26,2168,24.1,8,6,0,0,0,0,4.8,4.8,3.7,73,73,222
2021-2022,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,17,16,1361,15.1,0,4,0,0,5,0,0.8,0.8,2.6,20,76,11
2021-2022,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,0,0,3,0,4.9,4.9,1.3,15,24,79
2021-2022,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,18,13,1102,12.2,0,1,0,0,2,0,1.6,1.6,0.5,27,16,75
2021-2022,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,25,4,565,6.3,3,1,0,0,1,0,2.5,2.5,0.9,26,17,53
2021-2022,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,1,0,0,0,0,2,17,8
2021-2022,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Yves Bissouma,ml MLI,MF,Brighton,24,1996,26,25,2111,23.5,1,2,0,0,10,0,0.9,0.9,0.8,40,92,16
2021-2022,Willy Boly,ci CIV,DF,Wolves,30,1991,10,10,900,10,0,0,0,0,1,0,0.2,0.2,0.1,6,20,0
2021-2022,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,36,34,2983,33.1,12,10,0,0,6,0,11.9,11.9,6.1,74,66,204
2021-2022,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,6,4,388,4.3,1,0,0,0,0,1,0.5,0.5,0,1,12,0
2021-2022,Armando Broja,al ALB,FW,Southampton,19,2001,32,21,1975,21.9,6,0,0,0,2,0,5.9,5.9,1,56,29,114
2021-2022,Josh Brownhill,eng ENG,MF,Burnley,25,1995,35,32,2955,32.8,2,3,0,0,10,0,1.4,1.4,2.6,18,106,37
2021-2022,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,1,2,2
2021-2022,Bryan,es ESP,FWMF,Tottenham,20,2001,9,0,94,1,0,0,0,0,0,0,0.1,0.1,0.1,6,7,17
2021-2022,Emi Buendía,ar ARG,MFFW,Aston Villa,24,1996,35,22,1899,21.1,4,6,0,0,1,0,3.4,3.4,5.8,40,117,84
2021-2022,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,16,1440,16,0,1,0,0,4,0,0.7,0.7,0.4,6,31,2
2021-2022,Dan Burn,eng ENG,DF,Brighton,29,1992,13,12,1022,11.4,1,0,0,0,4,0,1.6,1.5,0.5,9,50,3
2021-2022,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Sam Byram,eng ENG,DF,Norwich City,27,1993,15,11,1027,11.4,0,0,0,0,3,0,0.6,0.6,0.2,11,23,16
2021-2022,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2,0,0,0,0,1,0,0,0,0,0,0,0
2021-2022,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,8,8,660,7.3,1,1,0,0,2,0,0.8,0.8,0.3,9,22,8
2021-2022,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,17,15,1283,14.3,5,2,2,3,2,0,6.5,4.2,1.6,9,17,50
2021-2022,Chem Campbell,wls WAL,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,4
2021-2022,João Cancelo,pt POR,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,0,0,7,0,4,4,5.4,125,357,270
2021-2022,Sergi Canós,es ESP,DFFW,Brentford,24,1997,31,25,2083,23.1,3,2,0,0,8,1,3,3,1.7,52,59,100
2021-2022,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,8,5,441,4.9,0,0,0,0,2,0,0.1,0.1,0.1,2,10,17
2021-2022,Matty Cash,pl POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,0,0,8,0,2.7,2.7,2.8,89,96,174
2021-2022,Timothy Castagne,be BEL,DF,Leicester City,25,1995,27,22,2127,23.6,1,0,0,0,1,0,0.7,0.7,1.5,32,72,115
2021-2022,Jonny Castro,es ESP,DF,Wolves,27,1994,13,10,1024,11.4,2,0,0,0,1,0,1,1,1.3,25,35,56
2021-2022,Craig Cathcart,nir NIR,DF,Watford,32,1989,31,27,2396,26.6,0,1,0,0,3,0,0.2,0.2,1.2,6,52,0
2021-2022,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,0,0,0,0,3.4,3.4,1.2,2,9,32
2021-2022,Kayky Chagas,br BRA,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,1,0,1
2021-2022,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,20,17,1449,16.1,3,1,0,0,2,0,1.1,1.1,0.3,24,88,14
2021-2022,Calum Chambers,eng ENG,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0.1,0.1,0.1,0,7,5
2021-2022,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,0,0,1,0,0.2,0.2,0.1,3,31,1
2021-2022,Daniel Chesters,eng ENG,MF,West Ham,19,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,7,6,542,6,3,1,0,0,0,0,0.9,0.9,0.8,14,18,46
2021-2022,Chiquinho,pt POR,DFFW,Wolves,21,2000,8,1,208,2.3,0,3,0,0,0,0,0.6,0.6,0.7,10,7,35
2021-2022,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,6,4,285,3.2,0,0,0,0,1,0,0,0,0,0,5,1
2021-2022,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,19,17,1496,16.6,0,0,0,0,2,0,0.6,0.6,0.2,14,81,5
2021-2022,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2003,12,2,301,3.3,0,1,0,0,0,0,0.6,0.6,1,9,7,14
2021-2022,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,13,12,1014,11.3,0,1,0,0,2,1,1.1,1.1,0.3,2,17,6
2021-2022,Tom Cleverley,eng ENG,MF,Watford,31,1989,28,20,1616,18,0,2,0,0,2,0,0.7,0.7,2.1,8,64,40
2021-2022,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,16,15,1351,15,0,1,0,0,1,0,0.1,0.1,0.4,14,36,25
2021-2022,Conor Coady,eng ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,0,0,4,0,2.8,2.8,0.1,6,35,3
2021-2022,Séamus Coleman,ie IRL,DF,Everton,32,1988,30,30,2656,29.5,1,0,0,0,4,0,1.2,1.2,0.8,40,96,77
2021-2022,Nathan Collins,ie IRL,DF,Burnley,20,2001,19,18,1670,18.6,2,0,0,0,2,1,1.5,1.5,1.5,7,44,8
2021-2022,Aaron Connolly,ie IRL,FWMF,Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0.4,0.4,0.1,3,1,7
2021-2022,Liam Cooper,sct SCO,DF,Leeds United,29,1991,21,21,1814,20.2,0,1,0,0,5,0,0.4,0.4,0.1,7,46,2
2021-2022,Jack Cork,eng ENG,MF,Burnley,32,1989,20,20,1670,18.6,1,0,0,0,4,0,0.7,0.7,0.3,12,46,12
2021-2022,Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,26,21,1766,19.6,9,1,0,1,2,0,6.7,5.9,1.7,28,30,125
2021-2022,Hélder Costa,ao ANG,MF,Leeds United,27,1994,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,2
2021-2022,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,28,25,2209,24.5,0,4,0,0,5,1,0.8,0.8,2.1,51,113,119
2021-2022,Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,19,16,1329,14.8,5,3,0,0,0,0,3.8,3.8,2.9,48,94,62
2021-2022,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,31,31,2726,30.3,2,3,0,0,3,0,1.1,1.1,3.2,54,186,99
2021-2022,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,5,1,141,1.6,0,0,0,0,1,0,0.1,0.1,0,1,4,0
2021-2022,Cucho,co COL,FWMF,Watford,22,1999,25,11,1147,12.7,5,2,0,0,3,0,2.5,2.5,1.9,22,39,85
2021-2022,Marc Cucurella,es ESP,DF,Brighton,23,1998,35,35,3089,34.3,1,1,0,0,6,0,0.7,0.7,2.7,104,191,208
2021-2022,Luke Cundle,eng ENG,MF,Wolves,19,2002,4,2,180,2,0,0,0,0,0,0,0,0,0.2,3,9,3
2021-2022,Patson Daka,zm ZAM,FW,Leicester City,22,1998,23,13,1159,12.9,5,3,0,0,2,0,4.2,4.2,2,10,17,66
2021-2022,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,34,34,2919,32.4,1,1,0,0,5,0,1.9,1.9,2.3,82,170,79
2021-2022,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,24,19,1801,20,0,0,0,0,4,0,0.6,0.6,1.2,53,105,75
2021-2022,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8,0,0,0,0,1,0,0,0,0,0,0,0
2021-2022,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,1,0.1,0.1,0.1,10,11,10
2021-2022,Ben Davies,wls WAL,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,0,0,6,0,2.3,2.3,0.5,62,137,60
2021-2022,Tom Davies,eng ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,0,0,1,0,0.8,0.8,0,1,7,3
2021-2022,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,1
2021-2022,Craig Dawson,eng ENG,DF,West Ham,31,1990,34,30,2754,30.6,2,2,0,0,5,1,3,3,1,4,54,3
2021-2022,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,0,0,2,0,5.7,5.7,10.4,84,204,175
2021-2022,Troy Deeney,eng ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0.1,0.1,0.1,0,1,5
2021-2022,Liam Delap,eng ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,1,0
2021-2022,Fabian Delph,eng ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,2,0,0,0,0.1,2,34,3
2021-2022,Leander Dendoncker,be BEL,MF,Wolves,26,1995,30,21,1950,21.7,2,2,0,0,4,0,2.2,2.2,1.1,9,64,45
2021-2022,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,33,30,2581,28.7,10,6,0,0,9,1,7.3,7.3,4.1,90,61,172
2021-2022,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,28,23,2105,23.4,1,2,0,0,4,0,1.2,1.2,2.7,82,132,98
2021-2022,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,23,10,1023,11.4,0,2,0,0,1,0,0.4,0.4,1,17,57,20
2021-2022,Rúben Dias,pt POR,DF,Manchester City,24,1997,29,27,2402,26.7,2,4,0,0,5,0,2.7,2.7,3.2,33,139,4
2021-2022,Luis Díaz,co COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,0,0,0,0,3.6,3.6,2.6,53,38,127
2021-2022,Eric Dier,eng ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,1,0,1.2,1.2,1.1,13,103,6
2021-2022,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,16,16,1269,14.1,0,4,0,0,2,0,0.5,0.5,2.2,34,48,121
2021-2022,Lucas Digne,fr FRA,DF,Everton,28,1993,13,13,1170,13,0,0,0,0,4,0,0.3,0.3,1.4,25,49,47
2021-2022,Issa Diop,fr FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,0,0,0,0,0.1,0.1,0.4,4,14,1
2021-2022,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,3,0,1.5,1.5,0.3,20,18,30
2021-2022,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,3,0,32,0.4,0,0,0,0,1,0,0,0,0,1,1,2
2021-2022,Matt Doherty,ie IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,0,0,0,0,2.5,2.5,2,29,24,80
2021-2022,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,35,3063,34,5,0,0,0,8,1,3.2,3.2,0.7,12,110,9
2021-2022,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,0,0,6,0,2.2,2.2,2,33,113,54
2021-2022,Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,19,11,912,10.1,1,1,0,0,0,0,1.1,1.1,1.5,14,31,49
2021-2022,Cody Drameh,eng ENG,DFMF,Leeds United,19,2001,3,1,128,1.4,0,0,0,0,1,0,0,0,0,3,6,3
2021-2022,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26,0,0,0,0,1,0,0,0,0,0,0,0
2021-2022,Shane Duffy,ie IRL,DF,Brighton,29,1992,18,15,1436,16,1,0,0,0,7,0,1,1,0.2,3,41,3
2021-2022,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,2,0,0,0,0,0,5,2
2021-2022,Lewis Dunk,eng ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,0,0,3,1,1.3,1.3,0.4,14,83,3
2021-2022,Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37,0,0,0,0,3,0,0,0,0,0,3,0
2021-2022,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,28,18,1564,17.4,6,3,1,1,4,0,6.4,5.6,1.9,42,42,109
2021-2022,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,21,14,1214,13.5,2,2,0,0,0,0,2.6,2.6,2.4,32,18,114
2021-2022,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,6,4,346,3.8,0,0,0,0,0,0,0.8,0.8,0.6,10,36,38
2021-2022,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,14,8,806,9,0,2,0,0,1,0,0.2,0.2,0.4,5,43,2
2021-2022,Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,30,23,2042,22.7,4,2,0,0,4,0,5.5,5.5,2.3,59,81,124
2021-2022,Emerson,br BRA,DFMF,Tottenham,22,1999,31,26,2286,25.4,1,1,0,0,5,0,1.5,1.5,2.2,68,68,175
2021-2022,Christian Eriksen,dk DEN,MF,Brentford,29,1992,11,10,939,10.4,1,4,0,0,1,0,1.3,1.3,3.5,21,82,22
2021-2022,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,9,4,401,4.5,0,0,0,0,3,0,0.1,0.1,0.1,3,16,1
2021-2022,Jonny Evans,nir NIR,DF,Leicester City,33,1988,18,16,1348,15,1,1,0,0,3,0,0.6,0.6,0.8,1,49,4
2021-2022,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,13,6,605,6.7,1,1,0,0,1,0,0.4,0.4,0.9,20,33,38
2021-2022,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,3330,37,0,0,0,0,2,0,0,0,0,0,0,0
2021-2022,Fabinho,br BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,2,2,7,0,3.9,2.4,1.3,18,134,37
2021-2022,Kiko Femenía,es ESP,DF,Watford,30,1991,27,26,2142,23.8,0,5,0,0,2,0,0.1,0.1,3.6,40,100,48
2021-2022,Evan Ferguson,ie IRL,MF,Brighton,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,1
2021-2022,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,0,2,10,0,9.7,8.1,9,78,237,190
2021-2022,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,1,0
2021-2022,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,7,5,523,5.8,0,0,0,0,0,0,0.4,0.4,0.3,0,12,1
2021-2022,Fernandinho,br BRA,MFDF,Manchester City,36,1985,19,10,964,10.7,2,1,0,0,1,0,1.6,1.6,1,16,81,11
2021-2022,Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,10,990,11,5,4,0,0,3,0,4.7,4.7,1.7,27,40,100
2021-2022,Junior Firpo,es ESP,DFMF,Leeds United,24,1996,24,19,1711,19,0,2,0,0,11,0,0.9,0.9,1.9,36,111,72
2021-2022,Ashley Fletcher,eng ENG,FW,Watford,25,1995,3,0,30,0.3,0,0,0,0,0,0,0.6,0.6,0,1,0,1
2021-2022,Phil Foden,eng ENG,FW,Manchester City,21,2000,28,24,2128,23.6,9,5,0,0,1,0,9.4,9.4,6.3,71,98,248
2021-2022,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,7,630,7,0,0,0,0,2,0,0.4,0.4,0,10,28,1
2021-2022,Pablo Fornals,es ESP,FWMF,West Ham,25,1996,36,32,2795,31.1,6,3,0,0,4,0,4.6,4.6,6.3,49,191,200
2021-2022,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,22,17,1530,17,0,1,0,0,5,0,0.5,0.5,1,19,80,26
2021-2022,Marcus Forss,fi FIN,FWMF,Brentford,22,1999,7,1,209,2.3,0,1,0,0,0,0,0.3,0.3,0.2,2,6,12
2021-2022,Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19,0,0,0,0,1,0,0,0,0,0,0,0
2021-2022,Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26,0,1,0,0,0,0,0,0,0.1,0,0,0
2021-2022,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0,3,1,4
2021-2022,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,27,18,1465,16.3,2,3,0,0,3,0,2.7,2.7,2.1,35,34,86
2021-2022,Fred,br BRA,MF,Manchester Utd,28,1993,28,24,2028,22.5,4,4,0,0,5,0,1.3,1.3,2.2,17,138,41
2021-2022,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,7,3,307,3.4,0,0,0,0,1,0,0,0,0.1,4,6,14
2021-2022,Leo Fuhr Hjelde,no NOR,MFDF,Leeds United,17,2003,2,0,150,1.7,0,0,0,0,0,0,0,0,0,1,3,4
2021-2022,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,34,33,2845,31.6,8,3,0,0,10,0,6.3,6.3,3.1,42,94,118
2021-2022,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Dwight Gayle,eng ENG,FWDF,Newcastle Utd,30,1990,8,0,38,0.4,0,0,0,0,1,0,0.6,0.6,0.3,0,0,4
2021-2022,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,3,1,67,0.7,0,0,0,0,0,0,0,0,0,1,0,0
2021-2022,David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0
2021-2022,Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,20,5,746,8.3,2,2,0,0,4,0,3,3,1.6,17,15,55
2021-2022,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,9,4,386,4.3,1,1,1,1,2,0,1.1,0.3,0.4,13,5,38
2021-2022,Anwar El Ghazi,nl NED,FWMF,Everton,26,1995,2,0,13,0.1,0,0,0,0,0,0,0,0,0,2,0,2
2021-2022,Saman Ghoddos,ir IRN,MFDF,Brentford,27,1993,17,4,536,6,1,1,0,0,2,0,0.5,0.5,1.2,7,25,40
2021-2022,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,18,14,1169,13,0,1,0,0,2,0,0.1,0.1,0.6,33,40,58
2021-2022,Morgan Gibbs-White,eng ENG,DFFW,Wolves,21,2000,2,0,9,0.1,0,0,0,0,1,0,0.1,0.1,0,0,2,2
2021-2022,Ben Gibson,eng ENG,DF,Norwich City,28,1993,28,28,2494,27.7,0,0,0,0,5,1,1.4,1.4,0.2,11,68,0
2021-2022,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,24,21,1855,20.6,0,1,0,0,2,0,0.9,0.9,1.4,30,112,17
2021-2022,Ben Godfrey,eng ENG,DF,Everton,23,1998,23,23,2029,22.5,0,0,0,0,6,0,1.4,1.4,0.8,23,67,26
2021-2022,André Gomes,pt POR,MF,Everton,28,1993,14,7,619,6.9,0,1,0,0,3,0,0.7,0.7,0.2,6,25,13
2021-2022,Toti Gomes,pt POR,DF,Wolves,22,1999,4,4,360,4,0,0,0,0,1,0,0,0,0,2,7,2
