Year,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR
2020-2021,Ben Davies,wls WAL,DF,Tottenham,27,1993,20,14,1346,15,0,1,0,0,1,0,0.2,0.2,0.6,28,51,55
2020-2021,Tom Davies,eng ENG,MF,Everton,22,1998,25,17,1423,15.8,0,1,0,0,3,0,0.2,0.2,0.9,11,49,17
2020-2021,Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,15,1,277,3.1,1,1,0,0,0,0,1.5,1.5,0.6,7,6,37
2020-2021,Leif Davis,eng ENG,DF,Leeds United,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0,1,1,0
2020-2021,Craig Dawson,eng ENG,DF,West Ham,30,1990,22,22,1925,21.4,3,0,0,0,5,1,1.9,1.9,0.1,2,39,1
2020-2021,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,25,23,1997,22.2,6,12,2,3,1,0,9.3,6.9,8,102,213,186
2020-2021,Liam Delap,eng ENG,FW,Manchester City,17,2003,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,1
2020-2021,Fabian Delph,eng ENG,MFDF,Everton,30,1989,8,2,266,3,0,0,0,0,1,0,0,0,0.1,2,11,4
2020-2021,Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,33,28,2503,27.8,1,0,0,0,4,0,3.1,3.1,0.7,15,88,31
2020-2021,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,16,14,1189,13.2,3,2,0,0,2,0,6.6,6.6,1,4,12,60
2020-2021,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,3,2,166,1.8,0,1,0,0,0,0,0,0,0.5,9,9,7
2020-2021,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,22,10,1020,11.3,0,0,0,0,3,0,0.5,0.5,0.6,11,46,13
2020-2021,Grady Diangana,eng ENG,MFFW,West Brom,22,1998,20,15,1235,13.7,1,0,0,0,0,0,1.1,1.1,0.2,25,32,84
